

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.025  000.025: --- NVIM STARTING ---
000.285  000.260: event init
000.511  000.226: early init
000.643  000.132: locale set
000.747  000.104: init first window
001.012  000.266: inits 1
001.018  000.005: window checked
001.019  000.002: parsing arguments
001.289  000.046  000.046: require('vim.shared')
001.354  000.024  000.024: require('vim._meta')
001.355  000.064  000.040: require('vim._editor')
001.356  000.128  000.018: require('vim._init_packages')
001.357  000.209: init lua interpreter
001.377  000.020: expanding arguments
001.404  000.027: inits 2
001.552  000.149: init highlight
001.553  000.001: waiting for UI
002.431  000.879: done waiting for UI
002.451  000.020: init screen for UI
002.518  000.067: init default mappings
002.525  000.007: init default autocommands
003.035  000.033  000.033: sourcing /usr/share/nvim/runtime/ftplugin.vim
003.126  000.018  000.018: sourcing /usr/share/nvim/runtime/indent.vim
003.160  000.006  000.006: sourcing /usr/share/nvim/archlinux.vim
003.163  000.017  000.011: sourcing /etc/xdg/nvim/sysinit.vim
004.474  000.142  000.142: require('packer.util')
004.495  001.124  000.982: require('packer')
004.706  000.210  000.210: require('packer.log')
005.042  000.112  000.112: require('packer.async')
005.260  000.074  000.074: require('packer.result')
005.263  000.219  000.145: require('packer.jobs')
005.267  000.547  000.216: require('packer.plugin_utils')
005.455  000.183  000.183: require('packer.snapshot')
005.644  000.026  000.026: require('custom.plugins')
006.031  000.098  000.098: require('onedark')
006.980  000.114  000.114: require('onedark.palette')
007.003  000.194  000.080: require('onedark.colors')
007.089  000.082  000.082: require('onedark.util')
007.173  000.854  000.577: require('onedark.highlights')
008.523  000.102  000.102: require('onedark.terminal')
008.532  002.627  001.572: sourcing /home/popcorn/.local/share/nvim/site/pack/packer/start/onedark.nvim/colors/onedark.lua
008.557  000.012  000.012: require('vim.keymap')
008.985  000.088  000.088: require('lualine_require')
009.176  000.587  000.500: require('lualine')
010.188  000.054  000.054: require('lualine.utils.mode')
011.968  000.069  000.069: require('Comment')
012.018  000.047  000.047: require('Comment.config')
012.527  000.155  000.155: require('Comment.ft')
012.534  000.343  000.188: require('Comment.utils')
012.647  000.111  000.111: require('Comment.opfunc')
012.718  000.069  000.069: require('Comment.extra')
012.721  000.700  000.178: require('Comment.api')
013.690  000.234  000.234: require('indent_blankline/utils')
013.694  000.787  000.553: require('indent_blankline')
014.044  000.095  000.095: require('gitsigns.async')
014.091  000.044  000.044: require('gitsigns.status')
014.460  000.101  000.101: require('gitsigns.debug')
014.581  000.118  000.118: require('gitsigns.util')
014.719  000.062  000.062: require('gitsigns.uv')
014.722  000.139  000.077: require('gitsigns.subprocess')
015.190  000.037  000.037: require('gitsigns.message')
015.197  000.251  000.214: require('gitsigns.config')
015.228  000.029  000.029: require('gitsigns.signs.base')
015.230  000.323  000.042: require('gitsigns.signs')
015.233  000.510  000.187: require('gitsigns.hunks')
015.239  001.146  000.278: require('gitsigns.git')
015.549  000.057  000.057: require('gitsigns.cache')
015.600  000.049  000.049: require('gitsigns.debounce')
015.637  000.034  000.034: require('gitsigns.diff')
015.645  000.405  000.264: require('gitsigns.manager')
015.765  000.119  000.119: require('gitsigns.highlight')
015.771  002.021  000.212: require('gitsigns')
016.223  000.116  000.116: require('gitsigns.signs.vimfn')
016.863  000.043  000.043: require('vim.inspect')
017.138  000.090  000.090: require('telescope._extensions')
017.141  000.218  000.128: require('telescope')
018.188  000.182  000.182: require('plenary.bit')
018.278  000.088  000.088: require('plenary.functional')
018.298  000.013  000.013: require('ffi')
018.307  000.755  000.473: require('plenary.path')
018.350  000.949  000.193: require('plenary.strings')
018.420  000.068  000.068: require('telescope.deprecated')
019.006  000.224  000.224: require('plenary.log')
019.054  000.337  000.113: require('telescope.log')
019.881  000.416  000.416: require('plenary.job')
019.966  000.082  000.082: require('telescope.state')
019.985  000.929  000.431: require('telescope.utils')
019.995  001.574  000.308: require('telescope.sorters')
020.155  000.006  000.006: require('vim.F')
021.209  004.066  001.469: require('telescope.config')
023.308  000.069  000.069: require('plenary.tbl')
023.312  000.162  000.093: require('plenary.vararg.rotate')
023.313  000.219  000.057: require('plenary.vararg')
